101 Dalmatians,1961,Clyde Geronimi,Rod Taylor,J. Pat O'Malley,Betty Lou Gerson,Martha Wentworth,Ben Wright
12 Angry Men,1957,Sidney Lumet,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman
2001: A Space Odyssey,1968,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Leonard Rossiter
2012,2009,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor,Thandie Newton,Oliver Platt
3 Idiots,2009,Rajkumar Hirani,Aamir Khan,Kareena Kapoor,Madhavan,Sharman Joshi,Boman Irani
3 Men and a Baby,1987,Leonard Nimoy,Tom Selleck,Steve Guttenberg,Ted Danson,Nancy Travis,Margaret Colin
300,2006,Zack Snyder,Gerard Butler,Lena Headey,Dominic West,David Wenham,Vincent Regan
8½,1963,Federico Fellini,Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Sandra Milo,Rossella Falk
A Beautiful Mind,2001,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany
A Bug's Life,1998,John Lasseter,Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere,Phyllis Diller
A Clockwork Orange,1971,Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,John Clive
A Fistful of Dollars,1964,Sergio Leone,Clint Eastwood,Marianne Koch,Gian Maria Volonté,Wolfgang Lukschy,Sieghardt Rupp
A Separation,2011,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,Sarina Farhadi
A Streetcar Named Desire,1951,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,Rudy Bond
Air Force One,1997,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,Liesel Matthews
Aladdin,1992,Ron Clements,Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker
Alice in Wonderland,2010,Tim Burton,Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Anne Hathaway,Crispin Glover
Alien,1979,Ridley Scott,Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Harry Dean Stanton,John Hurt
Aliens,1986,James Cameron,Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser,Lance Henriksen
All About Eve,1950,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill
All Quiet on the Western Front,1930,Lewis Milestone,Louis Wolheim,Lew Ayres,John Wray,Arnold Lucy,Ben Alexander
Alvin and the Chipmunks,2007,Tim Hill,Jason Lee,David Cross,Cameron Richardson,Jane Lynch,Justin Long
Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,Zachary Levi,David Cross,Jason Lee,Justin Long,Matthew Gray Gubler
Amadeus,1984,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,Simon Callow
American Beauty,1999,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari
American History X,1998,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee
Amores Perros,2000,Alejandro González Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche
Amélie,2001,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,Serge Merlin
Anatomy of a Murder,1959,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,Eve Arden
Annie Hall,1977,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon
Apocalypse Now,1979,Francis Ford Coppola,Marlon Brando,Martin Sheen,Robert Duvall,Frederic Forrest,Sam Bottoms
Apollo 13,1995,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris
