Rank,Title,Year,USA Box Office
1,Avatar,2009,760505847
2,Titanic,1997,658672302
3,The Avengers,2012,623279547
4,The Dark Knight,2008,533316061
5,Star Wars: Episode I - The Phantom Menace,1999,474544677
6,Star Wars,1977,460935665
7,The Dark Knight Rises,2012,448130642
8,Shrek 2,2004,436471036
9,E.T. the Extra-Terrestrial,1982,434949459
10,Pirates of the Caribbean: Dead Man's Chest,2006,423032628
11,The Lion King,1994,422783777
12,Toy Story 3,2010,414984497
13,Iron Man 3,2013,408992272
14,The Hunger Games,2012,407999255
15,Spider-Man,2002,403706375
16,Jurassic Park,1993,402348347
17,Transformers: Revenge of the Fallen,2009,402076689
18,Harry Potter and the Deathly Hallows: Part 2,2011,380955619
19,Finding Nemo,2003,380838870
20,Star Wars: Episode III - Revenge of the Sith,2005,380262555
21,The Lord of the Rings: The Return of the King,2003,377019252
22,Spider-Man 2,2004,373377893
23,The Passion of the Christ,2004,370270943
24,Despicable Me 2,2013,363060130
25,Transformers: Dark of the Moon,2011,352358779
26,The Lord of the Rings: The Two Towers,2002,340478898
27,Spider-Man 3,2007,336530303
28,Alice in Wonderland,2010,334185206
29,Forrest Gump,1994,329691196
30,Shrek the Third,2007,320706665
31,Transformers,2007,318759914
32,Iron Man,2008,318298180
33,Harry Potter and the Sorcerer's Stone,2001,317557891
34,Indiana Jones and the Kingdom of the Crystal Skull,2008,317011114
35,The Lord of the Rings: The Fellowship of the Ring,2001,313837577
36,Iron Man 2,2010,312057433
37,Star Wars: Episode II - Attack of the Clones,2002,310675583
38,Pirates of the Caribbean: At World's End,2007,309404152
39,Star Wars: Episode VI - Return of the Jedi,1983,309125409
40,Independence Day,1996,306124059
41,Pirates of the Caribbean: The Curse of the Black Pearl,2003,305388685
42,Skyfall,2012,304360277
43,The Hobbit: An Unexpected Journey,2012,303001229
44,Harry Potter and the Half-Blood Prince,2009,301956980
45,The Twilight Saga: Eclipse,2010,300523113
46,The Twilight Saga: New Moon,2009,296623634
47,Harry Potter and the Deathly Hallows: Part 1,2010,294980434
48,The Sixth Sense,1999,293501675
49,Up,2009,292979556
50,Inception,2010,292568851
51,The Twilight Saga: Breaking Dawn - Part 2,2012,292298923
52,Harry Potter and the Order of the Phoenix,2007,292000866
53,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,291709845
54,Man of Steel,2013,291021565
55,Star Wars: Episode V - The Empire Strikes Back,1980,290158751
56,Harry Potter and the Goblet of Fire,2005,289994397
57,"Monsters, Inc.",2001,289907418
58,Home Alone,1990,285761243
59,The Matrix Reloaded,2003,281492479
60,The Twilight Saga: Breaking Dawn - Part 1,2011,281275991
61,Meet the Fockers,2004,279167575
62,The Hangover,2009,277313371
63,Shrek,2001,267652016
64,Monsters University,2013,267047978
65,The Amazing Spider-Man,2012,262030663
66,Harry Potter and the Chamber of Secrets,2002,261970615
67,The Incredibles,2004,261437578
68,How the Grinch Stole Christmas,2000,260031035
69,Jaws,1975,260000000
70,Star Trek,2009,257704099
71,I Am Legend,2007,256386216
72,The Blind Side,2009,255950375
73,The Hangover Part II,2011,254455986
74,Despicable Me,2010,251501645
75,Batman,1989,251188924
76,Night at the Museum,2006,250863268
77,Men in Black,1997,250147615
78,Harry Potter and the Prisoner of Azkaban,2004,249358727
79,Toy Story 2,1999,245823397
80,Cars,2006,244052771
81,Bruce Almighty,2003,242589580
82,Raiders of the Lost Ark,1981,242374454
83,Twister,1996,241688385
84,My Big Fat Greek Wedding,2002,241437427
85,Pirates of the Caribbean: On Stranger Tides,2011,241063875
86,Fast & Furious 6,2013,238673370
87,Ghostbusters,1984,238632124
88,Shrek Forever After,2010,238371987
89,Brave,2012,237282182
90,Oz the Great and Powerful,2013,234903076
91,Beverly Hills Cop,1984,234760500
92,X-Men: The Last Stand,2006,234360014
93,War of the Worlds,2005,234277056
94,Cast Away,2000,233630478
95,The Lost World: Jurassic Park,1997,229074524
96,Star Trek Into Darkness,2013,228756232
97,Signs,2002,227965690
98,Hancock,2008,227946274
99,The Bourne Ultimatum,2007,227225045
100,Rush Hour 2,2001,226138454
101,WALL·E,2008,223806889
102,National Treasure: Book of Secrets,2007,219961501
103,Alvin and the Chipmunks: The Squeakquel,2009,219613391
104,Mrs. Doubtfire,1993,219200000
105,Beauty and the Beast,1991,218967620
106,Ted,2012,218628680
107,King Kong,2005,218051260
108,Ghost,1990,217631306
109,The Da Vinci Code,2006,217536138
110,How to Train Your Dragon,2010,217387997
111,Aladdin,1992,217350219
112,Alvin and the Chipmunks,2007,217326336
113,Madagascar 3: Europe's Most Wanted,2012,216366733
114,Saving Private Ryan,1998,216119491
115,Mission: Impossible II,2000,215397307
116,Kung Fu Panda,2008,215395021
117,X2,2003,214948780
118,The Lorax,2012,213949505
119,Austin Powers in Goldmember,2002,213079163
120,Back to the Future,1985,210609762
121,300,2006,210592590
122,Fast Five,2011,209805005
